X,Y,U,V,absV,
Rectangular zone
-0.958841,0.296318,3.47183,-3.68424,5.09368,
-0.889952,0.296318,1.29968,-0.906797,1.59734,
-0.821062,0.296318,2.90736,-4.32858,5.24605,
-0.752173,0.296318,3.16936,-4.31565,5.3664,
-0.683284,0.296318,4.20144,-2.40212,4.87911,
-0.614395,0.296318,4.50103,-0.496715,4.5295,
-0.545505,0.296318,2.78335,-1.34032,3.43879,
-0.476616,0.296318,1.2057,-1.21665,1.82971,
-0.407727,0.296318,0.0971183,-0.230363,0.274211,
-0.338837,0.296318,-0.00825904,-0.0121409,0.019749,
-0.269948,0.296318,-0.00209126,-0.000276584,0.00210947,
-0.201059,0.296318,0,0,0,
-0.132169,0.296318,0,0,0,
-0.06328,0.296318,0,0,0,
0.00560927,0.296318,0,0,0,
0.0744986,0.296318,0,0,0,
0.143388,0.296318,0,0,0,
0.212277,0.296318,0,0,0,
0.281167,0.296318,0.000654107,0.000582042,0.000875573,
0.350056,0.296318,0.00285867,0.000646386,0.0074914,
0.418945,0.296318,0.0129752,-0.0457756,0.0643534,
0.487834,0.296318,-0.246295,-0.526088,0.610671,
0.556724,0.296318,-0.398648,-0.65785,0.769363,
0.625613,0.296318,-1.07432,-1.78652,2.08765,
0.694502,0.296318,-2.03268,-3.7162,4.25243,
0.763392,0.296318,-2.56271,-3.7423,4.53735,
0.832281,0.296318,-1.97566,-2.74221,3.38225,
0.90117,0.296318,-1.51184,-1.84,2.39276,
0.97006,0.296318,-1.44623,-1.67934,2.22329,
1.03895,0.296318,-0.219676,-0.513494,0.619123,
1.10784,0.296318,-1.61793,-1.44599,2.17219,
1.17673,0.296318,-0.580343,-0.294344,0.652864,
1.24562,0.296318,-0.904854,-0.748858,1.19583,
1.31451,0.296318,-0.639607,-0.445725,0.779914,
1.3834,0.296318,-0.491623,-0.266593,0.563685,
1.45228,0.296318,-0.775689,-0.442342,0.901048,
1.52117,0.296318,-0.290617,-0.194398,0.365918,
1.59006,0.296318,-0.326029,-0.200394,0.38372,
-1.78551,0.338649,0.156039,-0.203779,0.347841,
-1.71662,0.338649,0.767523,-0.378595,0.857762,
-1.64773,0.338649,0.117152,-0.196806,0.432591,
-1.57884,0.338649,0.179268,-0.231921,0.322954,
-1.50996,0.338649,0.109142,-0.188923,0.484633,
-1.44107,0.338649,0.177599,-0.0418455,0.18822,
-1.37218,0.338649,0.826224,-0.644655,1.12392,
-1.30329,0.338649,-0.0723316,-0.770653,0.790732,
-1.2344,0.338649,0.925433,-0.113734,0.93411,
-1.16551,0.338649,1.73677,-1.60435,2.36803,
-1.09662,0.338649,0.994711,-1.22614,1.58239,
-1.02773,0.338649,1.23064,-1.34873,1.82679,
-0.958841,0.338649,2.78488,-3.87944,4.77699,
-0.889952,0.338649,1.85417,-3.01314,3.55622,
-0.821062,0.338649,3.24596,-5.61246,6.494,
-0.752173,0.338649,1.32054,-2.10125,2.48278,
-0.683284,0.338649,2.24495,-2.85804,3.672,
-0.614395,0.338649,2.51097,-1.05613,2.84533,
-0.545505,0.338649,2.72007,0.787647,3.71138,
-0.476616,0.338649,0.000497845,-1.63597,1.75935,
-0.407727,0.338649,-0.00248055,-1.12453,1.12883,
-0.338837,0.338649,-0.0101085,-0.00954521,0.0176286,
-0.269948,0.338649,-0.0465935,-0.00616232,0.0469993,
-0.201059,0.338649,0,0,0,
-0.132169,0.338649,-0.00663753,-0.004686,0.00812498,
-0.06328,0.338649,0,0,0,
0.00560927,0.338649,1.10418e-005,7.43635e-005,7.51788e-005,
0.0744986,0.338649,0,0,0,
0.143388,0.338649,0.01713,0.00618959,0.018214,
0.212277,0.338649,0.00130036,0.000469859,0.00138264,
0.281167,0.338649,0.0122011,0.0108568,0.0163321,
0.350056,0.338649,0.000900128,-0.000135467,0.00147252,
0.418945,0.338649,0.127268,-0.229604,0.325179,
0.487834,0.338649,-0.170917,-0.686858,0.74866,
0.556724,0.338649,-0.29365,-0.930661,1.02094,
0.625613,0.338649,-0.914898,-2.10375,2.33857,
0.694502,0.338649,-1.00809,-2.26205,2.47728,
0.763392,0.338649,-0.39562,-0.801192,0.894916,
0.832281,0.338649,-1.21232,-1.91753,2.27008,
0.90117,0.338649,-1.53849,-2.85353,3.2443,
0.97006,0.338649,-1.27503,-1.9769,2.37939,
1.03895,0.338649,-0.00986633,-0.707954,1.08935,
1.10784,0.338649,-1.47765,-1.5101,2.11322,
1.17673,0.338649,-0.938778,-0.948556,1.33974,
1.24562,0.338649,0.57912,-0.733778,0.974743,
1.31451,0.338649,-0.559304,-0.526625,0.768326,
1.3834,0.338649,-0.706047,-0.510866,0.87399,
1.45228,0.338649,-0.262982,-0.270199,0.378156,
1.52117,0.338649,-0.0825074,-0.231686,0.302926,
1.59006,0.338649,-0.263125,-0.206058,0.348109,
-1.78551,0.38098,0.305718,-0.134079,0.511105,
-1.71662,0.38098,0.204483,-0.224748,0.347262,
-1.64773,0.38098,0.561816,-0.412653,0.701734,
-1.57884,0.38098,0.21789,-0.0826479,0.284247,
-1.50996,0.38098,-0.0496561,-0.105952,0.195323,
-1.44107,0.38098,1.11324,-0.804772,1.37444,
-1.37218,0.38098,0.424946,-0.0900194,0.438942,
-1.30329,0.38098,1.12186,-1.11984,1.60447,
-1.2344,0.38098,1.24602,-1.39002,1.87098,
-1.16551,0.38098,1.20874,-1.2853,1.80864,
-1.09662,0.38098,1.86872,-2.18434,2.89088,
-1.02773,0.38098,1.18868,-1.82201,2.17694,
-0.958841,0.38098,0.96585,-1.53042,1.81443,
-0.889952,0.38098,2.33702,-4.39948,4.98269,
-0.821062,0.38098,2.07727,-5.01245,5.4346,
-0.752173,0.38098,2.03604,-3.89064,4.40218,
-0.683284,0.38098,1.72647,-3.33441,3.75961,
-0.614395,0.38098,1.9949,-1.22619,2.3608,
-0.545505,0.38098,1.23139,-0.467521,2.37828,
-0.476616,0.38098,-0.768178,-1.20112,1.56012,
-0.407727,0.38098,-0.125881,-1.46159,1.48669,
-0.338837,0.38098,-0.388723,-0.119309,0.455791,
-0.269948,0.38098,-0.22181,-0.0274174,0.22351,
-0.201059,0.38098,-0.00631004,-0.0044548,0.00772411,
-0.132169,0.38098,-0.00980143,-0.00691966,0.0119979,
-0.06328,0.38098,0,0,0,
0.00560927,0.38098,6.53672e-005,0.000440229,0.000445056,
0.0744986,0.38098,0.000833149,0.00592205,0.00598037,
0.143388,0.38098,0.05478,0.0197936,0.0582464,
0.212277,0.38098,0.00046989,0.000221406,0.00051944,
0.281167,0.38098,0.100073,0.089368,0.13417,
0.350056,0.38098,0.0415002,0.0254167,0.0590706,
0.418945,0.38098,0.444465,-0.296386,0.792353,
0.487834,0.38098,0.140333,-0.491614,0.668079,
0.556724,0.38098,0.222296,-0.305475,0.377809,
0.625613,0.38098,0.0952699,-2.6692,2.6995,
0.694502,0.38098,-0.690708,-3.09523,3.18371,
0.763392,0.38098,-0.906556,-2.98002,3.1303,
0.832281,0.38098,-1.02302,-2.26985,2.5122,
0.90117,0.38098,-1.0653,-1.56252,1.91123,
0.97006,0.38098,-1.06101,-2.45025,2.68111,
1.03895,0.38098,-0.767869,-1.34451,1.67389,
1.10784,0.38098,-0.765907,-1.21594,1.44155,
1.17673,0.38098,-0.340383,-0.429125,0.54931,
1.24562,0.38098,-0.809409,-1.11868,1.39581,
1.31451,0.38098,-1.05829,-0.836196,1.40148,
1.3834,0.38098,-0.16254,-0.0797643,0.182372,
1.45228,0.38098,-0.82896,-0.536494,0.98939,
1.52117,0.38098,-0.464516,-0.357987,0.587382,
1.59006,0.38098,-0.0625815,-0.127932,0.261746,
-1.78551,0.423311,0.00546365,0.0428643,0.243543,
